VIC
Host,dn,id,model,vendor,serial,blade_id,chassis_id,oper_state,operability,presence,part_number,admin_power_state,base_mac,conn_path,conn_status,perf,voltage,thermal,pci_addr,pci_slot
172.16.54.166,sys/chassis-3/blade-1/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP90,1,3,operable,unknown,equipped,,none,00:00:33:84:90:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-1/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP91,1,3,operable,unknown,equipped,,none,00:00:33:84:91:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-3/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP92,3,3,operable,unknown,equipped,,none,00:00:33:85:92:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-3/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP93,3,3,operable,unknown,equipped,,none,00:00:33:85:93:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-7/adaptor-4,4,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP94,7,3,operable,unknown,equipped,,none,00:00:33:86:94:01,B,B,not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-3/blade-7/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP96,7,3,operable,unknown,equipped,,none,00:00:33:87:96:01,B,B,not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-3/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP104,3,4,operable,unknown,equipped,,none,00:00:37:97:04:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-3/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP105,3,4,operable,unknown,equipped,,none,00:00:37:97:05:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-1/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP102,1,4,operable,unknown,equipped,,none,00:00:37:96:02:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-1/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP103,1,4,operable,unknown,equipped,,none,00:00:37:96:03:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-7/adaptor-2,2,UCS-VIC-M82-8P,Cisco Systems Inc,SRVADAP108,7,4,operable,unknown,equipped,,none,00:00:37:99:08:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A
172.16.54.166,sys/chassis-4/blade-5/adaptor-1,1,UCSB-MLOM-40G-01,Cisco Systems Inc,SRVADAP106,5,4,operable,unknown,equipped,,none,00:00:37:98:06:01,"A,B","A,B",not-supported,not-supported,unknown,,N/A


PCI
Host,dn,id,model,vendor,serial,mac_left,mac_right,smbios_id,discovery_state,controller_reported


VHBAS
Host,id,dn,model,vendor,serial,wwn,node_wwn,admin_state,order,boot_dev,cdn_name,discovery,chassis_id,ep_dn,host_port,name,if_role,if_type,link_state,max_data_field_size,presence,oper_state,operability,original_node_wwn,original_wwn


MEMORY
Host,dn,id,model,vendor,serial,capacity,clock,presence
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-22,22,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1682,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-23,23,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1683,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-24,24,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1684,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-25,25,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1685,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-26,26,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1686,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-27,27,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1687,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-28,28,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1688,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-29,29,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1689,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-30,30,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1690,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-31,31,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1691,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-1/board/memarray-1/mem-32,32,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1692,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-1,1,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1693,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-2,2,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1694,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-3,3,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1695,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-4,4,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1696,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-5,5,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1697,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-6,6,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1698,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-7,7,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1699,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-8,8,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1700,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-9,9,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1701,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-10,10,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1702,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-11,11,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1703,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-12,12,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1704,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-13,13,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1705,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-14,14,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1706,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-15,15,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1707,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-16,16,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1708,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-17,17,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1709,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-18,18,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1710,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-19,19,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1711,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-20,20,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1712,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-21,21,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1713,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-22,22,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1714,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-23,23,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1715,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-24,24,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1716,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-25,25,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1717,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-26,26,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1718,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-27,27,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1719,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-28,28,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1720,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-29,29,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1721,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-30,30,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1722,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-31,31,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1723,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-3/board/memarray-1/mem-32,32,HMA84GR7MFR4N-TFTD,0xAD00,SRVMEM1724,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-49,49,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1725,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-50,50,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1726,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-51,51,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1727,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-52,52,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1728,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-53,53,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1729,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-54,54,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1730,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-55,55,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1731,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-56,56,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1732,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-57,57,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1733,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-58,58,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1734,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-59,59,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1735,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-60,60,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1736,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-61,61,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1737,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-62,62,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1738,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-63,63,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1739,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-64,64,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1740,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-65,65,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1741,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-66,66,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1742,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-67,67,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1743,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-68,68,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1744,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-69,69,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1745,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-70,70,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1746,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-71,71,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1747,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-72,72,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1748,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-73,73,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1749,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-74,74,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1750,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-75,75,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1751,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-76,76,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1752,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-77,77,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1753,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-78,78,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1754,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-79,79,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1755,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-80,80,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1756,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-81,81,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1757,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-82,82,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1758,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-83,83,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1759,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-84,84,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1760,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-85,85,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1761,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-86,86,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1762,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-87,87,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1763,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-88,88,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1764,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-89,89,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1765,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-90,90,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1766,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-91,91,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1767,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-92,92,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1768,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-93,93,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1769,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-94,94,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1770,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-95,95,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1771,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-96,96,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1772,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-1,1,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1773,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-2,2,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1774,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-3,3,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1775,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-4,4,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1776,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-5,5,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1777,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-6,6,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1778,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-7,7,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1779,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-8,8,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1780,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-9,9,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1781,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-10,10,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1782,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-11,11,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1783,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-12,12,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1784,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-13,13,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1785,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-14,14,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1786,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-15,15,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1787,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-16,16,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1788,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-17,17,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1789,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-18,18,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1790,32768,2133,equipped
172.16.54.166,sys/chassis-3/blade-7/board/memarray-1/mem-19,19,HMA84GR7MFR4N-TFTD,0x80AD,SRVMEM1791,32768,2133,equipped
